state,district_name,nces_id,corona,covid,n_links,links
Alabama,Cleburne County,0100780,TRUE,TRUE,4,"http://www.cleburneschools.net/Domain/175, http://www.cleburneschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=18&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=596&PageID=1, http://www.cleburneschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=18&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=563&PageID=1, http://www.cleburneschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=18&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=555&PageID=1, http://www.cleburneschools.net/Domain/175, http://www.cleburneschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=18&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=596&PageID=1, http://www.cleburneschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=18&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=563&PageID=1, http://www.cleburneschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=18&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=555&PageID=1"
Alabama,Coffee County,0100810,TRUE,FALSE,2,"http://www.coffeecountyschools.orghttp://www.coffeecountyschools.org/Download.asp?L=0&LMID=25662&PN=DocumentUploads&DivisionID=&DepartmentID=&SubDepartmentID=&SubP=&Act=Download&T=1&I=745572, http://www.coffeecountyschools.orghttp://www.coffeecountyschools.org/Download.asp?L=0&LMID=25662&PN=DocumentUploads&DivisionID=&DepartmentID=&SubDepartmentID=&SubP=&Act=Download&T=1&I=745597, http://www.coffeecountyschools.orghttp://www.coffeecountyschools.org/Download.asp?L=0&LMID=25662&PN=DocumentUploads&DivisionID=&DepartmentID=&SubDepartmentID=&SubP=&Act=Download&T=1&I=745572, http://www.coffeecountyschools.orghttp://www.coffeecountyschools.org/Download.asp?L=0&LMID=25662&PN=DocumentUploads&DivisionID=&DepartmentID=&SubDepartmentID=&SubP=&Act=Download&T=1&I=745597"
Alabama,Colbert County,0100840,FALSE,TRUE,3,"http://www.colbert.k12.al.ushttps://www.colbert.k12.al.us/blog/13963/covid19-virus-and-colbert-county, http://www.colbert.k12.al.ushttps://www.colbert.k12.al.us/blog/13963/covid19-virus-and-colbert-county, http://www.colbert.k12.al.us/News/covid19, http://www.colbert.k12.al.ushttps://www.colbert.k12.al.us/blog/13963/covid19-virus-and-colbert-county, http://www.colbert.k12.al.ushttps://www.colbert.k12.al.us/blog/13963/covid19-virus-and-colbert-county, http://www.colbert.k12.al.us/News/covid19"
Alabama,Conecuh County,0100870,TRUE,FALSE,4,"http://www.conecuh.k12.al.usjavascript:;, http://www.conecuh.k12.al.usjavascript:;, http://www.conecuh.k12.al.usjavascript:;, http://www.conecuh.k12.al.usjavascript:;, http://www.conecuh.k12.al.usjavascript:;, http://www.conecuh.k12.al.usjavascript:;, http://www.conecuh.k12.al.usjavascript:;, http://www.conecuh.k12.al.usjavascript:;"
Alabama,Covington County,0100930,FALSE,TRUE,1,"http://www.cov.k12.al.ushttp://childrenspolicycouncil.com, http://www.cov.k12.al.ushttp://childrenspolicycouncil.com"
Alabama,Cullman County,0101020,TRUE,FALSE,5,"http://www.ccboe.org/parent___community/coronavirus_information, http://www.ccboe.org/announcements/what_s_new/more_information_on_coronavirus_from_c_c_b_o_e, http://www.ccboe.org/parent___community/coronavirus_information, http://www.ccboe.org/announcements/what_s_new/more_information_on_coronavirus_from_c_c_b_o_e, http://www.ccboe.org/announcements/what_s_new/more_information_on_coronavirus_from_c_c_b_o_e, http://www.ccboe.org/parent___community/coronavirus_information, http://www.ccboe.org/announcements/what_s_new/more_information_on_coronavirus_from_c_c_b_o_e, http://www.ccboe.org/parent___community/coronavirus_information, http://www.ccboe.org/announcements/what_s_new/more_information_on_coronavirus_from_c_c_b_o_e, http://www.ccboe.org/announcements/what_s_new/more_information_on_coronavirus_from_c_c_b_o_e"
Alabama,Dallas County,0101110,TRUE,TRUE,4,"http://www.dallask12.org/News/536, http://www.dallask12.org/News/536, http://www.dallask12.org/News/548, http://www.dallask12.org/News/548, http://www.dallask12.org/News/536, http://www.dallask12.org/News/536, http://www.dallask12.org/News/548, http://www.dallask12.org/News/548"
Alabama,Decatur City,0101170,TRUE,FALSE,1,"http://www.dcs.eduhttps://www.dcs.edu/apps/pages/index.jsp?uREC_ID=1696108&type=d&pREC_ID=1856959, http://www.dcs.eduhttps://www.dcs.edu/apps/pages/index.jsp?uREC_ID=1696108&type=d&pREC_ID=1856959"
Alabama,Demopolis City,0101200,TRUE,TRUE,2,"http://www.dcsedu.com/apps/news/article/1187298, http://www.dcsedu.comhttps://4.files.edl.io/d4ce/03/13/20/130127-5c052500-dd15-4cd2-aced-0ab2c42a3b48.pdf, http://www.dcsedu.com/apps/news/article/1187298, http://www.dcsedu.comhttps://4.files.edl.io/d4ce/03/13/20/130127-5c052500-dd15-4cd2-aced-0ab2c42a3b48.pdf"
Alabama,Dothan City,0101230,TRUE,TRUE,2,"http://www.dothan.k12.al.us../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=2899&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5245&PageID=1, http://www.dothan.k12.al.ushttps://www.dothan.k12.al.us/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=2899&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5245&PageID=1, http://www.dothan.k12.al.us../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=2899&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5245&PageID=1, http://www.dothan.k12.al.ushttps://www.dothan.k12.al.us/site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=2899&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=5245&PageID=1"
