district-name,state,nces-id,website-url
ALBANY SCHOOL DISTRICT,Wisconsin,5500120,http://www.albany.k12.wi.us
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,3680100,http://www.capregboces.org
ALBEMARLE CO PBLC SCHS,Virginia,5100090,http://www2.k12albemarle.org/Pages/default.aspx
ALBERS SD 63,Illinois,1703270,NA
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,1900031,http://www.albertct.k12.ia.us
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-OHIO,Ohio,3901539,http://ealas.org/woh/
ALBERT GALLATIN AREA SD,Pennsylvania,4202100,http://www.albertgallatin.k12.pa.us
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,2702970,http://albertlea.k12.mn.us/
ALBERTON K-12 SCHOOLS,Montana,3001860,http://alberton.k12.mt.us
ALBERTVILLE CITY,Alabama,0100005,http://www.albertk12.org
ALBIA COMM SCHOOL DISTRICT,Iowa,1903270,http://www.albiacsd.org
ALBION,Oklahoma,4002580,NA
ALBION CENTRAL SCHOOL DISTRICT,New York,3602520,http://www.albionk12.org
ALBUQUERQUE COLLEGIATE CHARTER SCHOOL,NEW MEXICO,3500181,NA
ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,New Mexico,3500130,NA
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,3500060,NA
ALBURG SCHOOL DISTRICT,Vermont,5001770,NA
ALBURNETT COMM SCHOOL DISTRICT,Iowa,1903300,http://www.alburnettcsd.org
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,4600028,http://www.alcester-hudson.k12.sd.us
ALCOA,Tennessee,4700060,http://www.alcoaschools.net
ALCONA COMMUNITY SCHOOLS,Michigan,2602160,http://alconaschools.org
ALCORN SCHOOL DIST,Mississippi,2800390,http://www.alcorn.k12.ms.us/index.html
ALDEN CENTRAL SCHOOL DISTRICT,New York,3602550,http://www.aldenschools.org
ALDEN COMM SCHOOL DISTRICT,Iowa,1900032,http://www.ifacadets.net
ALDEN HEBRON SD 19,Illinois,1703300,NA
